title,price_gbp,rating,url,page_num,rating_num,title_length,high_rating
A Light in the Attic,51.77,Three,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,3,20,0
Tipping the Velvet,53.74,One,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,1,18,0
Soumission,50.1,One,https://books.toscrape.com/catalogue/soumission_998/index.html,1,1,10,0
Sharp Objects,47.82,Four,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,4,13,1
Sapiens: A Brief History of Humankind,54.23,Five,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,5,37,1
The Requiem Red,22.65,One,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,1,15,0
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,4,50,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,3,87,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,4,94,1
The Black Maria,52.15,One,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,1,15,0
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,2,46,0
Shakespeare's Sonnets,20.66,Four,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,4,21,1
Set Me Free,17.46,Five,https://books.toscrape.com/catalogue/set-me-free_988/index.html,1,5,11,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,5,55,1
Rip it Up and Start Again,35.02,Five,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,5,25,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,3,82,0
Olio,23.88,One,https://books.toscrape.com/catalogue/olio_984/index.html,1,1,4,0
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,1,53,0
Libertarianism for Beginners,51.33,Two,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,1,2,28,0
It's Only the Himalayas,45.17,Two,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,1,2,23,0
In Her Wake,12.84,One,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,2,1,11,0
How Music Works,37.32,Two,https://books.toscrape.com/catalogue/how-music-works_979/index.html,2,2,15,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,2,3,175,0
Chase Me (Paris Nights #2),25.27,Five,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,2,5,26,1
Black Dust,34.53,Five,https://books.toscrape.com/catalogue/black-dust_976/index.html,2,5,10,1
Birdsong: A Story in Pictures,54.64,Three,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,2,3,29,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,2,3,107,0
Aladdin and His Wonderful Lamp,53.13,Three,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,2,3,30,0
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,2,5,55,1
Wall and Piece,44.18,Four,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,2,4,14,1
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,2,5,58,1
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,2,3,73,0
The Elephant Tree,23.82,Five,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,2,5,17,1
The Bear and the Piano,36.89,One,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,2,1,22,0
Sophie's World,15.94,Five,https://books.toscrape.com/catalogue/sophies-world_966/index.html,2,5,14,1
Penny Maybe,33.29,Three,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,2,3,11,0
Maude (1883-1993):She Grew Up with the country,18.02,Two,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,2,2,46,0
"In a Dark, Dark Wood",19.63,One,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,2,1,20,0
Behind Closed Doors,52.22,Four,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,2,4,19,1
You can't bury them all: Poems,33.63,Two,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,2,2,30,0
Slow States of Collapse: Poems,57.31,Three,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,3,3,30,0
Reasons to Stay Alive,26.41,Two,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,3,2,21,0
Private Paris (Private #10),47.61,Five,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,3,5,27,1
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,3,5,66,1
Without Borders (Wanderlove #1),45.07,Two,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,3,2,31,0
When We Collided,31.77,One,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,3,1,16,0
"We Love You, Charlie Freeman",50.27,Five,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,3,5,28,1
Untitled Collection: Sabbath Poems 2014,14.27,Four,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,3,4,39,1
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,3,4,105,1
Unicorn Tracks,18.78,Three,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,3,3,14,0
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,3,1,102,0
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,3,1,55,0
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,3,3,75,0
This One Summer,19.49,Four,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,3,4,15,1
Thirst,17.27,Five,https://books.toscrape.com/catalogue/thirst_946/index.html,3,5,6,1
The Torch Is Passed: A Harding Family Story,19.09,One,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,3,1,43,0
The Secret of Dreadwillow Carse,56.13,One,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,3,1,31,0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,3,1,127,0
The Past Never Ends,56.5,Four,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,3,4,19,1
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,3,3,57,0
The Nameless City (The Nameless City #1),38.16,Four,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,4,4,40,1
The Murder That Never Was (Forensic Instincts #5),54.11,Three,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,4,3,49,0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,4,4,57,1
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,4,4,150,1
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,4,3,86,0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,4,5,82,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,4,1,57,0
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,4,1,62,0
The Death of Humanity: and the Case for Life,58.11,Four,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,4,4,44,1
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,4,3,91,0
The Art Forger,40.76,Three,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,4,3,14,0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,4,1,75,0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,4,5,67,1
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,4,4,78,1
Soul Reader,39.58,Two,https://books.toscrape.com/catalogue/soul-reader_926/index.html,4,2,11,0
Security,39.25,Two,https://books.toscrape.com/catalogue/security_925/index.html,4,2,8,0
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,4,3,45,0
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,4,2,45,0
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,4,2,65,0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,4,3,67,0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,5,5,81,1
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,5,5,48,1
"Pop Gun War, Volume 1: Gift",18.97,One,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,5,1,27,0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,5,2,163,0
Patience,10.16,Three,https://books.toscrape.com/catalogue/patience_916/index.html,5,3,8,0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,5,4,54,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,5,1,70,0
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,5,1,55,0
On a Midnight Clear,14.07,Three,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html,5,3,19,0
Obsidian (Lux #1),14.86,Two,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html,5,2,17,0
My Paris Kitchen: Recipes and Stories,33.37,Two,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html,5,2,37,0
Masks and Shadows,56.4,Two,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html,5,2,17,0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,5,4,83,1
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,5,2,61,0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,5,3,62,0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,5,2,55,0
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html,5,1,56,0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,5,2,69,0
Join,35.67,Five,https://books.toscrape.com/catalogue/join_902/index.html,5,5,4,1
In the Country We Love: My Family Divided,22.0,Four,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html,5,4,41,1
